id,population,country,abbr,label
1,004,4,AFG,Afghanistan
2,008,8,ALB,Albania
3,012,12,DZA,Algeria
4,024,24,AGO,Angola
5,031,31,AZE,Azerbaijan
6,032,32,ARG,Argentina
7,036,36,AUS,Australia
8,040,40,AUT,Austria
9,044,44,BHS,Bahamas
10,048,48,BHR,Bahrain
11,050,50,BGD,Bangladesh
12,051,51,ARM,Armenia
13,052,52,BRB,Barbados
14,056,56,BEL,Belgium
15,064,64,BTN,Bhutan
16,068,68,BOL,Bolivia
17,070,70,BIH,Bosnia Herzegovina
18,072,72,BWA,Botswana
19,076,76,BRA,Brazil
20,084,84,BLZ,Belize
21,090,90,SLB,Solomon Islands
22,096,96,BRN,Brunei Darussalam
23,100,100,BGR,Bulgaria
24,104,104,MMR,Myanmar
25,108,108,BDI,Burundi
26,112,112,BLR,Belarus
27,116,116,KHM,Cambodia
28,120,120,CMR,Cameroon
29,124,124,CAN,Canada
30,132,132,CPV,Cape Verde
31,140,140,CAF,Central African Republic
32,144,144,LKA,Sri Lanka
33,148,148,TCD,Chad
34,152,152,CHL,Chile
35,156,160,CHN,China
36,170,170,COL,Colombia
37,174,174,COM,Comoros
38,178,178,COG,"Congo, Republic of"
39,180,180,COD,"Congo, Democratic People Republic of"
40,188,188,CRI,Costa Rica
41,191,191,HRV,Croatia
42,192,192,CUB,Cuba
43,196,196,CYP,Cyprus
44,203,203,CZE,Czechia
45,204,204,BEN,Benin
46,208,208,DNK,Denmark
47,214,214,DOM,Dominican Republic
48,218,218,ECU,Ecuador
49,222,222,SLV,El Salvador
50,226,226,GNQ,Equatorial Guinea
51,231,231,ETH,Ethiopia
52,232,232,ERI,Eritrea
53,233,233,EST,Estonia
54,242,242,FJI,Fiji
55,246,246,FIN,Finland
56,250,250,FRA,France (metropolitan)
57,254,254,GUF,French Guyana
58,258,258,PYF,French Polynesia
59,262,262,DJI,Djibouti
60,266,266,GAB,Gabon
61,268,268,GEO,Georgia
62,270,270,GMB,The Republic of the Gambia
63,275,275,PSE,Gaza Strip and West Bank
64,276,276,DEU,Germany
65,288,288,GHA,Ghana
66,300,300,GRC,Greece
67,312,312,GLP,"France, Guadeloupe"
68,316,316,GUM,Guam
69,320,320,GTM,Guatemala
70,324,324,GIN,Guinea
71,328,328,GUY,Guyana
72,332,332,HTI,Haiti
73,340,340,HND,Honduras
74,348,348,HUN,Hungary
75,352,352,ISL,Iceland
76,356,356,IND,India
77,360,360,IDN,Indonesia
78,364,364,IRN,"Iran, Islamic Republic of"
79,368,368,IRQ,Iraq
80,372,372,IRL,Ireland
81,376,376,ISR,Israel
82,380,380,ITA,Italy
83,384,384,CIV,Côte d'Ivoire
84,388,388,JAM,Jamaica
85,392,392,JPN,Japan
86,398,398,KAZ,Kazakhstan
87,400,400,JOR,Jordan
88,404,404,KEN,Kenya
89,408,408,PRK,"Korea, Democratic People Republic of"
90,410,410,KOR,"Korea, Republic of"
91,414,414,KWT,Kuwait
92,417,417,KGZ,Kyrgyzstan
93,418,418,LAO,Lao People's Democratic Republic
94,422,422,LBN,Lebanon
95,426,426,LSO,Lesotho
96,428,428,LVA,Latvia
97,430,430,LBR,Liberia
98,434,434,LBY,Libya
99,440,440,LTU,Lithuania
100,442,442,LUX,Luxembourg
101,450,450,MDG,Madagascar
102,454,454,MWI,Malawi
103,458,458,MYS,Malaysia
104,462,462,MDV,Maldives
105,466,466,MLI,Mali
106,470,470,MLT,Malta
107,474,474,MTQ,"France, Martinique"
108,478,478,MRT,Mauritania
109,480,480,MUS,Mauritius
110,484,484,MEX,Mexico
111,496,496,MNG,Mongolia
112,498,498,MDA,Moldova
113,499,499,MNE,Montenegro
114,504,504,MAR,Morocco
115,508,508,MOZ,Mozambique
116,512,512,OMN,Oman
117,516,516,NAM,Namibia
118,524,524,NPL,Nepal
119,528,528,NLD,The Netherlands
120,540,540,NCL,New Caledonia
121,548,548,VUT,Vanuatu
122,554,554,NZL,New Zealand
123,558,558,NIC,Nicaragua
124,562,562,NER,Niger
125,566,566,NGA,Nigeria
126,578,578,NOR,Norway
127,586,586,PAK,Pakistan
128,591,591,PAN,Panama
129,598,598,PNG,Papua New Guinea
130,600,600,PRY,Paraguay
131,604,604,PER,Peru
132,608,608,PHL,Philippines
133,616,616,POL,Poland
134,620,620,PRT,Portugal
135,624,624,GNB,Guinea-Bissau
136,626,626,TLS,Timor-Leste
137,630,630,PRI,Puerto Rico
138,634,634,QAT,Qatar
139,638,638,REU,"France, La Réunion"
140,642,642,ROU,Romania
141,643,643,RUS,Russian Federation
142,646,646,RWA,Rwanda
143,662,662,LCA,Saint Lucia
144,678,678,STP,Sao Tome and Principe
145,682,682,SAU,Saudi Arabia
146,686,686,SEN,Senegal
147,688,688,SRB,Serbia
148,694,694,SLE,Sierra Leone
149,702,702,SGP,Singapore
150,703,703,SVK,Slovakia
151,704,704,VNM,Viet Nam
152,705,705,SVN,Slovenia
153,706,706,SOM,Somalia
154,710,710,ZAF,South Africa
155,716,716,ZWE,Zimbabwe
156,724,724,ESP,Spain
157,728,728,SSD,South Sudan
158,729,729,SDN,Sudan
159,740,740,SUR,Suriname
160,748,748,SWZ,Eswatini
161,752,752,SWE,Sweden
162,756,756,CHE,Switzerland
163,760,760,SYR,Syrian Arab Republic
164,762,762,TJK,Tajikistan
165,764,764,THA,Thailand
166,768,768,TGO,Togo
167,780,780,TTO,Trinidad and Tobago
168,784,784,ARE,United Arab Emirates
169,788,788,TUN,Tunisia
170,792,792,TUR,Türkiye
171,795,795,TKM,Turkmenistan
172,800,800,UGA,Uganda
173,804,804,UKR,Ukraine
174,807,807,MKD,North Macedonia
175,818,818,EGY,Egypt
176,826,826,GBR,United Kingdom
177,834,834,TZA,"Tanzania, United Republic of"
178,840,840,USA,United States of America
179,854,854,BFA,Burkina Faso
180,858,858,URY,Uruguay
181,860,860,UZB,Uzbekistan
182,862,862,VEN,Venezuela
183,882,882,WSM,Samoa
184,887,887,YEM,Yemen
185,894,894,ZMB,Zambia