popid,abbr,country,x1990,x2000,x2010,x2015,x2019,x2020,x2021,x2022
4,AFG,Afghanistan,0.284,0.34,0.449,0.479,0.492,0.488,0.473,0.462
8,ALB,Albania,0.649,0.678,0.766,0.797,0.8,0.784,0.785,0.789
12,DZA,Algeria,0.593,0.652,0.721,0.736,0.742,0.73,0.74,0.745
20,AND,Andorra,,0.815,0.863,0.856,0.865,0.843,0.855,0.884
24,AGO,Angola,,0.38,0.516,0.591,0.597,0.594,0.59,0.591
28,ATG,Antigua and Barbuda,,,0.808,0.818,0.831,0.82,0.819,0.826
31,AZE,Azerbaijan,,0.635,0.733,0.751,0.762,0.722,0.738,0.76
32,ARG,Argentina,0.724,0.78,0.834,0.85,0.853,0.841,0.844,0.849
36,AUS,Australia,0.864,0.896,0.924,0.933,0.941,0.948,0.949,0.946
40,AUT,Austria,0.823,0.87,0.903,0.91,0.92,0.916,0.92,0.926
44,BHS,Bahamas,0.76,0.788,0.8,0.807,0.802,0.798,0.799,0.82
48,BHR,Bahrain,0.733,0.775,0.807,0.859,0.888,0.884,0.884,0.888
50,BGD,Bangladesh,0.399,0.491,0.558,0.604,0.646,0.657,0.662,0.67
51,ARM,Armenia,0.658,0.656,0.739,0.769,0.789,0.769,0.774,0.786
52,BRB,Barbados,0.728,0.76,0.792,0.798,0.806,0.803,0.803,0.809
56,BEL,Belgium,0.814,0.884,0.913,0.924,0.936,0.93,0.938,0.942
64,BTN,Bhutan,,,0.582,0.625,0.668,0.675,0.677,0.681
68,BOL,Bolivia,0.546,0.625,0.661,0.688,0.715,0.691,0.691,0.698
70,BIH,Bosnia Herzegovina,,0.656,0.718,0.757,0.78,0.776,0.776,0.779
72,BWA,Botswana,0.587,0.581,0.652,0.688,0.703,0.701,0.68,0.708
76,BRA,Brazil,0.62,0.668,0.722,0.752,0.764,0.758,0.756,0.76
84,BLZ,Belize,0.609,0.657,0.72,0.714,0.718,0.705,0.698,0.7
90,SLB,Solomon Islands,,0.488,0.553,0.562,0.568,0.566,0.564,0.562
96,BRN,Brunei Darussalam,0.779,0.789,0.825,0.832,0.827,0.827,0.824,0.823
100,BGR,Bulgaria,0.698,0.723,0.79,0.809,0.813,0.802,0.796,0.799
104,MMR,Myanmar,0.333,0.407,0.506,0.557,0.608,0.615,0.599,0.608
108,BDI,Burundi,0.285,0.298,0.404,0.42,0.423,0.419,0.419,0.42
112,BLR,Belarus,,0.708,0.79,0.809,0.81,0.8,0.801,0.801
116,KHM,Cambodia,0.379,0.431,0.542,0.564,0.596,0.596,0.596,0.6
120,CMR,Cameroon,0.44,0.426,0.515,0.562,0.586,0.585,0.581,0.587
124,CAN,Canada,0.861,0.89,0.911,0.927,0.932,0.928,0.934,0.935
132,CPV,Cape Verde,,0.59,0.649,0.658,0.667,0.649,0.65,0.661
140,CAF,Central African Republic,0.333,0.319,0.357,0.367,0.391,0.389,0.387,0.387
144,LKA,Sri Lanka,0.641,0.689,0.735,0.76,0.775,0.777,0.783,0.78
148,TCD,Chad,,0.292,0.364,0.388,0.398,0.396,0.393,0.394
152,CHL,Chile,0.705,0.763,0.813,0.846,0.859,0.849,0.856,0.86
156,CHN,China,0.482,0.586,0.698,0.741,0.775,0.781,0.785,0.788
170,COL,Colombia,0.614,0.672,0.732,0.758,0.768,0.756,0.752,0.758
174,COM,Comoros,,0.458,0.524,0.556,0.584,0.588,0.585,0.586
178,COG,"Congo, Republic of",0.541,0.509,0.581,0.61,0.596,0.598,0.598,0.593
180,COD,"Congo, Democratic People Republic of",0.377,0.376,0.424,0.457,0.476,0.477,0.475,0.481
188,CRI,Costa Rica,0.659,0.709,0.769,0.792,0.811,0.811,0.804,0.806
191,HRV,Croatia,,0.764,0.824,0.844,0.866,0.86,0.867,0.878
192,CUB,Cuba,0.684,0.694,0.779,0.765,0.766,0.759,0.742,0.764
196,CYP,Cyprus,0.733,0.797,0.859,0.874,0.901,0.9,0.901,0.907
203,CZE,Czechia,0.748,0.81,0.872,0.891,0.896,0.891,0.891,0.895
204,BEN,Benin,0.35,0.412,0.481,0.509,0.506,0.501,0.502,0.504
208,DNK,Denmark,0.839,0.89,0.913,0.936,0.946,0.946,0.947,0.952
212,DMA,Dominica,,0.721,0.735,0.719,0.745,0.738,0.737,0.74
214,DOM,Dominican Republic,0.579,0.646,0.707,0.739,0.765,0.76,0.756,0.766
218,ECU,Ecuador,0.645,0.684,0.736,0.764,0.758,0.734,0.746,0.765
222,SLV,El Salvador,0.519,0.609,0.657,0.663,0.676,0.666,0.669,0.674
226,GNQ,Equatorial Guinea,,0.511,0.609,0.648,0.653,0.65,0.647,0.65
231,ETH,Ethiopia,,0.286,0.409,0.455,0.485,0.489,0.489,0.492
232,ERI,Eritrea,,,0.458,0.473,0.487,0.49,0.49,0.493
233,EST,Estonia,0.741,0.798,0.864,0.883,0.893,0.891,0.89,0.899
242,FJI,Fiji,0.63,0.669,0.699,0.716,0.73,0.722,0.715,0.729
246,FIN,Finland,0.811,0.887,0.912,0.93,0.939,0.939,0.941,0.942
250,FRA,France (metropolitan),0.79,0.844,0.88,0.893,0.905,0.9,0.906,0.91
254,GUF,French Guyana,,,,,0.796,0.79,0.794,0.794
258,PYF,French Polynesia,,,,,,,,0
262,DJI,Djibouti,,0.33,0.422,0.473,0.508,0.512,0.512,0.515
266,GAB,Gabon,0.599,0.626,0.656,0.692,0.702,0.704,0.687,0.693
268,GEO,Georgia,,0.694,0.763,0.798,0.816,0.807,0.809,0.814
270,GMB,The Republic of the Gambia,0.323,0.392,0.449,0.467,0.492,0.492,0.49,0.495
275,PSE,"Palestine, State of",,,0.688,0.71,0.739,0.715,0.715,0.716
276,DEU,Germany,0.828,0.89,0.929,0.941,0.951,0.948,0.948,0.95
288,GHA,Ghana,0.445,0.5,0.571,0.586,0.599,0.601,0.6,0.602
296,KIR,Kiribati,,0.547,0.584,0.625,0.636,0.629,0.627,0.628
300,GRC,Greece,0.762,0.818,0.874,0.881,0.89,0.887,0.887,0.893
308,GRD,Grenada,,,0.779,0.786,0.79,0.786,0.788,0.793
312,GLP,"France, Guadeloupe",,,,,0.856,0.849,0.854,0.854
316,GUM,Guam,,,,,0.901,,,0.901
320,GTM,Guatemala,0.49,0.551,0.613,0.629,0.645,0.638,0.63,0.629
324,GIN,Guinea,0.27,0.345,0.415,0.449,0.47,0.471,0.467,0.471
328,GUY,Guyana,0.496,0.57,0.65,0.686,0.711,0.727,0.721,0.742
332,HTI,Haiti,0.441,0.485,0.449,0.549,0.559,0.557,0.551,0.552
340,HND,Honduras,0.513,0.553,0.596,0.61,0.629,0.621,0.62,0.624
344,HKG,"Hong Kong, China (SAR)",0.739,0.831,0.914,0.936,0.953,0.955,0.959,0.956
348,HUN,Hungary,0.721,0.773,0.829,0.839,0.854,0.849,0.846,0.851
352,ISL,Iceland,0.834,0.895,0.927,0.948,0.958,0.955,0.957,0.959
356,IND,India,0.434,0.49,0.572,0.619,0.638,0.638,0.633,0.644
360,IDN,Indonesia,0.526,0.597,0.667,0.698,0.718,0.712,0.707,0.713
364,IRN,"Iran, Islamic Republic of",0.613,0.692,0.756,0.782,0.785,0.779,0.776,0.78
368,IRQ,Iraq,0.497,0.583,0.629,0.656,0.678,0.661,0.667,0.673
372,IRL,Ireland,0.743,0.851,0.908,0.924,0.942,0.945,0.946,0.95
376,ISR,Israel,0.781,0.835,0.887,0.899,0.909,0.906,0.911,0.915
380,ITA,Italy,0.78,0.842,0.88,0.881,0.899,0.892,0.899,0.906
384,CIV,C_te d'Ivoire,0.425,0.454,0.47,0.501,0.529,0.53,0.53,0.534
388,JAM,Jamaica,0.664,0.657,0.711,0.712,0.712,0.707,0.704,0.706
392,JPN,Japan,0.846,0.883,0.903,0.913,0.918,0.917,0.92,0.92
398,KAZ,Kazakhstan,0.672,0.68,0.766,0.799,0.81,0.806,0.801,0.802
400,JOR,Jordan,0.622,0.681,0.727,0.738,0.744,0.74,0.736,0.736
404,KEN,Kenya,0.48,0.487,0.545,0.575,0.604,0.599,0.596,0.601
408,PRK,"Korea, Democratic People Republic of",,,,,,,,0.733
410,KOR,"Korea, Republic of",0.731,0.824,0.89,0.908,0.922,0.922,0.926,0.929
414,KWT,Kuwait,0.698,0.78,0.811,0.829,0.838,0.826,0.836,0.847
417,KGZ,Kyrgyzstan,0.637,0.617,0.661,0.689,0.699,0.691,0.696,0.701
418,LAO,Lao People's Democratic Republic,0.408,0.473,0.557,0.604,0.617,0.616,0.615,0.62
422,LBN,Lebanon,,,0.749,0.756,0.76,0.742,0.725,0.723
426,LSO,Lesotho,0.479,0.456,0.47,0.508,0.528,0.53,0.522,0.521
428,LVA,Latvia,0.732,0.761,0.827,0.853,0.873,0.873,0.865,0.879
430,LBR,Liberia,,0.434,0.46,0.472,0.485,0.483,0.484,0.487
434,LBY,Libya,0.724,0.746,0.774,0.749,0.756,0.737,0.746,0.746
438,LIE,Liechtenstein,,0.871,0.916,0.926,0.94,0.933,0.936,0.942
440,LTU,Lithuania,0.74,0.769,0.846,0.865,0.886,0.88,0.875,0.879
442,LUX,Luxembourg,0.793,0.864,0.912,0.914,0.925,0.921,0.927,0.927
450,MDG,Madagascar,,0.438,0.488,0.499,0.498,0.486,0.484,0.487
454,MWI,Malawi,0.299,0.378,0.461,0.498,0.514,0.512,0.509,0.508
458,MYS,Malaysia,0.649,0.726,0.768,0.792,0.805,0.802,0.798,0.807
462,MDV,Maldives,,0.635,0.692,0.728,0.753,0.737,0.753,0.762
466,MLI,Mali,0.236,0.315,0.406,0.409,0.421,0.407,0.408,0.41
470,MLT,Malta,0.726,0.779,0.862,0.887,0.905,0.901,0.912,0.915
474,MTQ,"France, Martinique",,,,,0.851,0.845,0.849,0.849
478,MRT,Mauritania,0.397,0.461,0.508,0.536,0.552,0.539,0.538,0.54
480,MUS,Mauritius,0.62,0.682,0.755,0.791,0.806,0.792,0.79,0.796
484,MEX,Mexico,0.666,0.709,0.747,0.769,0.781,0.757,0.757,0.781
496,MNG,Mongolia,0.579,0.595,0.7,0.739,0.749,0.74,0.73,0.741
498,MDA,Moldova,0.688,0.655,0.716,0.749,0.773,0.765,0.767,0.763
499,MNE,Montenegro,,,0.806,0.827,0.841,0.832,0.84,0.844
504,MAR,Morocco,0.448,0.525,0.604,0.656,0.684,0.683,0.688,0.698
508,MOZ,Mozambique,0.239,0.303,0.407,0.445,0.465,0.467,0.459,0.461
512,OMN,Oman,,0.702,0.798,0.824,0.841,0.823,0.81,0.819
516,NAM,Namibia,0.595,0.549,0.584,0.627,0.638,0.634,0.616,0.61
520,NRU,Nauru,,,0.559,0.642,0.68,0.689,0.693,0.696
524,NPL,Nepal,0.395,0.461,0.543,0.568,0.598,0.593,0.591,0.601
528,NLD,The Netherlands,0.847,0.892,0.917,0.932,0.941,0.938,0.941,0.946
540,NCL,New Caledonia,,,,,0.813,,,0.813
548,VUT,Vanuatu,,,0.578,0.592,0.614,0.612,0.614,0.614
554,NZL,New Zealand,0.812,0.894,0.924,0.933,0.937,0.935,0.936,0.939
558,NIC,Nicaragua,0.487,0.563,0.611,0.644,0.661,0.652,0.665,0.669
562,NER,Niger,0.212,0.26,0.336,0.367,0.39,0.391,0.389,0.394
566,NGA,Nigeria,,,0.488,0.52,0.537,0.539,0.542,0.548
578,NOR,Norway,0.845,0.914,0.938,0.952,0.961,0.963,0.964,0.966
583,FSM,Micronesia (Federated States of),,0.637,0.644,0.642,0.64,0.636,0.634,0.634
584,MHL,Marshall Islands,,,,0.688,0.722,0.727,0.729,0.731
585,PLW,Palau,,0.747,0.775,0.782,0.792,0.794,0.802,0.797
586,PAK,Pakistan,0.394,0.434,0.496,0.525,0.537,0.536,0.537,0.54
591,PAN,Panama,0.672,0.722,0.775,0.802,0.82,0.809,0.813,0.82
598,PNG,Papua New Guinea,0.394,0.456,0.497,0.54,0.562,0.567,0.564,0.568
600,PRY,Paraguay,0.604,0.656,0.7,0.738,0.746,0.742,0.73,0.731
604,PER,Peru,0.62,0.675,0.725,0.758,0.774,0.758,0.755,0.762
608,PHL,Philippines,0.598,0.635,0.673,0.696,0.714,0.705,0.692,0.71
616,POL,Poland,0.715,0.794,0.845,0.869,0.88,0.874,0.876,0.881
620,PRT,Portugal,0.703,0.793,0.831,0.85,0.864,0.861,0.865,0.874
624,GNB,Guinea-Bissau,,,0.441,0.47,0.488,0.482,0.482,0.483
626,TLS,Timor-Leste,,0.495,0.639,0.621,0.627,0.633,0.574,0.566
630,PRI,Puerto Rico,,,,,,,0.88,0.88
634,QAT,Qatar,0.764,0.793,0.829,0.852,0.869,0.863,0.864,0.875
638,REU,"France, La R\xa8\xa6union",,,,,0.846,0.84,0.844,0.844
642,ROU,Romania,0.709,0.721,0.813,0.813,0.834,0.828,0.825,0.827
643,RUS,Russian Federation,0.741,0.733,0.797,0.823,0.839,0.826,0.818,0.821
646,RWA,Rwanda,0.32,0.328,0.485,0.509,0.531,0.535,0.539,0.548
659,KNA,Saint Kitts and Nevis,,,0.79,0.829,0.838,0.832,0.832,0.838
662,LCA,Saint Lucia,0.666,0.692,0.731,0.736,0.733,0.724,0.717,0.725
670,VCT,Saint Vincent and the Grenadines,,0.691,0.756,0.777,0.789,0.785,0.773,0.772
674,SMR,San Marino,0.841,0.875,0.901,0.872,0.861,0.844,0.853,0.867
678,STP,Sao Tome and Principe,0.48,0.498,0.553,0.595,0.608,0.609,0.609,0.613
682,SAU,Saudi Arabia,0.699,0.746,0.805,0.842,0.862,0.861,0.867,0.875
686,SEN,Senegal,0.371,0.388,0.47,0.501,0.514,0.514,0.512,0.517
688,SRB,Serbia,,0.689,0.768,0.794,0.812,0.806,0.804,0.805
690,SYC,Seychelles,,0.755,0.774,0.797,0.808,0.799,0.795,0.802
694,SLE,Sierra Leone,0.314,0.319,0.416,0.438,0.457,0.453,0.456,0.458
702,SGP,Singapore,0.78,0.863,0.921,0.935,0.945,0.942,0.942,0.949
703,SVK,Slovakia,,0.761,0.841,0.852,0.863,0.86,0.852,0.855
704,VNM,Viet Nam,0.492,0.599,0.676,0.697,0.717,0.726,0.718,0.726
705,SVN,Slovenia,,0.823,0.89,0.903,0.918,0.91,0.916,0.926
706,SOM,Somalia,,,,,,,,0.38
710,ZAF,South Africa,0.635,0.633,0.675,0.721,0.741,0.722,0.721,0.717
716,ZWE,Zimbabwe,0.479,0.426,0.481,0.544,0.56,0.554,0.549,0.55
724,ESP,Spain,0.762,0.828,0.868,0.889,0.904,0.894,0.904,0.911
728,SSD,South Sudan,,,0.406,0.381,0.391,0.386,0.381,0.381
729,SDN,Sudan,0.322,0.42,0.489,0.514,0.521,0.518,0.516,0.516
740,SUR,Suriname,,,0.696,0.707,0.71,0.702,0.689,0.69
748,SWZ,Eswatini,0.546,0.465,0.498,0.577,0.623,0.622,0.612,0.61
752,SWE,Sweden,0.808,0.903,0.91,0.937,0.947,0.944,0.949,0.952
756,CHE,Switzerland,0.85,0.885,0.94,0.952,0.96,0.957,0.965,0.967
760,SYR,Syrian Arab Republic,0.563,0.587,0.661,0.552,0.564,0.561,0.558,0.557
762,TJK,Tajikistan,0.616,0.548,0.631,0.651,0.668,0.656,0.677,0.679
764,THA,Thailand,0.581,0.663,0.743,0.789,0.801,0.8,0.797,0.803
768,TGO,Togo,0.399,0.436,0.469,0.51,0.536,0.54,0.545,0.547
776,TON,Tonga,0.64,0.679,0.709,0.723,0.74,0.742,0.738,0.739
780,TTO,Trinidad and Tobago,0.656,0.708,0.785,0.812,0.813,0.815,0.804,0.814
784,ARE,United Arab Emirates,0.717,0.79,0.828,0.86,0.933,0.93,0.931,0.937
788,TUN,Tunisia,0.566,0.651,0.713,0.724,0.74,0.734,0.729,0.732
792,TUR,T??rkiye,0.598,0.669,0.75,0.821,0.842,0.835,0.841,0.855
795,TKM,Turkmenistan,,,0.699,0.725,0.732,0.731,0.74,0.744
798,TUV,Tuvalu,0.564,0.599,0.623,0.656,0.654,0.655,0.653,0.653
800,UGA,Uganda,0.329,0.392,0.5,0.525,0.544,0.545,0.545,0.55
804,UKR,Ukraine,0.731,0.698,0.766,0.764,0.774,0.762,0.755,0.734
807,MKD,North Macedonia,,0.676,0.746,0.777,0.787,0.766,0.764,0.765
818,EGY,Egypt,0.567,0.629,0.667,0.695,0.724,0.729,0.726,0.728
826,GBR,United Kingdom,0.804,0.863,0.913,0.923,0.933,0.92,0.931,0.94
834,TZA,"Tanzania, United Republic of",0.366,0.396,0.493,0.507,0.533,0.535,0.529,0.532
840,USA,United States of America,0.875,0.894,0.916,0.924,0.933,0.923,0.921,0.927
854,BFA,Burkina Faso,,0.296,0.372,0.413,0.446,0.446,0.445,0.438
858,URY,Uruguay,0.702,0.754,0.785,0.807,0.818,0.82,0.814,0.83
860,UZB,Uzbekistan,,0.603,0.675,0.701,0.725,0.716,0.721,0.727
862,VEN,Venezuela,0.657,0.699,0.759,0.766,0.72,0.691,0.69,0.699
882,WSM,Samoa,,0.672,0.704,0.71,0.712,0.712,0.708,0.702
887,YEM,Yemen,0.357,0.434,0.496,0.455,0.43,0.43,0.425,0.424
894,ZMB,Zambia,0.417,0.418,0.528,0.563,0.574,0.569,0.565,0.569